TMO_AN,TMO_VS,TMO_EN,TMO_BG,TMO_CB,TMO_VB,Dop_AN,Dop_EN,Dop_AR,Dop_MF,FE
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.065,0.8244
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.07,0.8282
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.075,0.8317
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.08,0.8348
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.085,0.8371
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.09,0.8389
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.095,0.8405
22,4,1.54,3.2,-0.29,2.91,29,1.9,1.28,0.1,0.8419
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.01,0.6486
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.015,0.6888
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.02,0.7205
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.025,0.7465
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.03,0.7663
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.035,0.7815
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.04,0.7938
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.045,0.8044
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.05,0.8128
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.055,0.8194
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.06,0.8243
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.065,0.8286
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.07,0.8322
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.075,0.8355
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.08,0.8385
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.085,0.8409
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.09,0.8428
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.095,0.8444
22,4,1.54,3.2,-0.29,2.91,30,1.65,1.34,0.1,0.8458
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.01,0.7072
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.015,0.7412
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.02,0.7659
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.025,0.7856
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.03,0.7993
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.035,0.81
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.04,0.8191
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.045,0.8278
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.05,0.8361
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.055,0.8433
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.06,0.8492
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.065,0.8544
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.07,0.8581
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.075,0.8612
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.08,0.8641
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.085,0.8665
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.09,0.8687
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.095,0.8706
22,4,1.54,3.2,-0.29,2.91,44,2.2,1.34,0.1,0.8722
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.01,0.7114
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.015,0.7448
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.02,0.7693
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.025,0.7881
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.03,0.8016
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.035,0.8123
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.04,0.8217
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.045,0.8301
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.05,0.8383
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.055,0.8451
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.06,0.851
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.065,0.856
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.07,0.8598
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.075,0.8631
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.08,0.8661
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.085,0.8688
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.09,0.871
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.095,0.8729
22,4,1.54,3.2,-0.29,2.91,47,1.93,1.44,0.1,0.8747
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.01,0.4858
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.015,0.525
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.02,0.5574
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.025,0.5874
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.03,0.6139
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.035,0.6372
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.04,0.6551
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.045,0.6695
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.05,0.6818
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.055,0.6928
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.06,0.7022
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.065,0.7093
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.07,0.7151
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.075,0.7197
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.08,0.7237
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.085,0.7272
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.09,0.7305
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.095,0.7334
23,5,1.63,2.8,0.2,3,26,1.83,1.26,0.1,0.7359
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.01,0.491
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.015,0.5302
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.02,0.565
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.025,0.5977
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.03,0.6251
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.035,0.6478
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.04,0.6663
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.045,0.6804
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.05,0.6919
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.055,0.7026
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.06,0.7114
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.065,0.7188
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.07,0.7244
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.075,0.7293
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.08,0.7334
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.085,0.7369
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.09,0.7399
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.095,0.7424
23,5,1.63,2.8,0.2,3,27,1.88,1.25,0.1,0.7446
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.01,0.4967
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.015,0.5372
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.02,0.574
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.025,0.6062
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.03,0.6346
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.035,0.6582
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.04,0.6756
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.045,0.6896
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.05,0.7015
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.055,0.7113
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.06,0.7199
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.065,0.7274
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.07,0.7334
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.075,0.7378
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.08,0.7415
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.085,0.7448
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.09,0.7479
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.095,0.7506
23,5,1.63,2.8,0.2,3,28,1.91,1.24,0.1,0.753
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.01,0.5038
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.015,0.5452
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.02,0.5818
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.025,0.6146
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.03,0.6427
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.035,0.6658
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.04,0.6828
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.045,0.6968
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.05,0.7087
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.055,0.7185
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.06,0.7271
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.065,0.7348
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.07,0.7407
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.075,0.7451
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.08,0.7488
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.085,0.7521
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.09,0.755
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.095,0.7575
23,5,1.63,2.8,0.2,3,29,1.9,1.28,0.1,0.7597
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.01,0.5106
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.015,0.5528
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.02,0.5903
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.025,0.6224
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.03,0.6502
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.035,0.6723
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.04,0.6895
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.045,0.7039
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.05,0.7157
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.055,0.7251
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.06,0.7331
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.065,0.74
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.07,0.7459
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.075,0.7507
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.08,0.7546
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.085,0.758
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.09,0.7608
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.095,0.7634
23,5,1.63,2.8,0.2,3,30,1.65,1.34,0.1,0.7656
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.01,0.5768
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.015,0.619
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.02,0.654
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.025,0.6829
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.03,0.7055
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.035,0.7232
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.04,0.737
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.045,0.7482
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.05,0.7577
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.055,0.7658
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.06,0.7726
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.065,0.7788
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.07,0.784
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.075,0.7885
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.08,0.7926
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.085,0.7963
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.09,0.7995
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.095,0.802
23,5,1.63,2.8,0.2,3,44,2.2,1.34,0.1,0.8042
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.01,0.583
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.015,0.6243
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.02,0.6591
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.025,0.6877
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.03,0.7096
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.035,0.7269
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.04,0.7406
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.045,0.7515
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.05,0.761
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.055,0.7689
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.06,0.7758
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.065,0.7819
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.07,0.7872
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.075,0.7919
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.08,0.796
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.085,0.7996
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.09,0.8028
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.095,0.8052
23,5,1.63,2.8,0.2,3,47,1.93,1.44,0.1,0.8075
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.01,0.6963
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.015,0.7518
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.02,0.7919
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.025,0.82
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.03,0.8396
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.035,0.8536
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.04,0.8631
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.045,0.8699
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.05,0.8755
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.055,0.8805
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.06,0.8847
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.065,0.8883
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.07,0.8921
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.075,0.8951
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.08,0.8976
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.085,0.8994
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.09,0.9009
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.095,0.9022
26,2.67,1.83,0.2,-0.1,0.2,27,1.88,1.25,0.1,0.9033
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.01,0.701
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.015,0.7564
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.02,0.7958
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.025,0.8241
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.03,0.8433
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.035,0.8568
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.04,0.8663
26,2.67,1.83,0.2,-0.1,0.2,28,1.91,1.24,0.045,0.8741
